Zipcode,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
10048.0,2016,52,-30.666666666666664
10048.0,2017,50,-3.8461538461538463
10048.0,2018,24,-52.0
10048.0,2019,50,108.33333333333333
10048.0,2020,25,-50.0
10048.0,2021,51,104.0
10048.0,2022,105,105.88235294117648
10048.0,2023,55,-47.61904761904761
10065.0,2006,1277,
10065.0,2007,1304,2.11433046202036
10065.0,2008,1256,-3.6809815950920246
10065.0,2009,1191,-5.17515923566879
10065.0,2010,1062,-10.831234256926953
10065.0,2011,904,-14.87758945386064
10065.0,2012,1171,29.535398230088493
10065.0,2013,1197,2.220324508966695
10065.0,2014,1230,2.756892230576441
10065.0,2015,1143,-7.073170731707316
10065.0,2016,1057,-7.52405949256343
10065.0,2017,1122,6.149479659413434
10065.0,2018,1002,-10.695187165775401
10065.0,2019,1085,8.283433133732535
10065.0,2020,701,-35.39170506912443
10065.0,2021,691,-1.4265335235378032
10065.0,2022,986,42.6917510853835
10065.0,2023,354,-64.09736308316431
10069.0,2006,3,
10069.0,2007,9,200.0
10069.0,2008,3,-66.66666666666666
10069.0,2009,17,466.6666666666667
10069.0,2010,5,-70.58823529411765
10069.0,2011,15,200.0
10069.0,2012,46,206.66666666666669
10069.0,2013,18,-60.86956521739131
10069.0,2014,23,27.77777777777778
10069.0,2015,13,-43.47826086956522
10069.0,2016,6,-53.84615384615385
10069.0,2017,17,183.33333333333331
10069.0,2018,10,-41.17647058823529
10069.0,2019,5,-50.0
10069.0,2020,1,-80.0
10069.0,2021,18,1700.0
10069.0,2022,11,-38.88888888888889
10069.0,2023,6,-45.45454545454545
10075.0,2006,212,
10075.0,2007,245,15.566037735849056
10075.0,2008,194,-20.816326530612244
10075.0,2009,162,-16.49484536082474
10075.0,2010,178,9.876543209876543
10075.0,2011,212,19.101123595505616
10075.0,2012,181,-14.622641509433961
10075.0,2013,208,14.917127071823206
10075.0,2014,161,-22.596153846153847
10075.0,2015,171,6.211180124223603
10075.0,2016,165,-3.508771929824561
10075.0,2017,126,-23.636363636363637
10075.0,2018,96,-23.809523809523807
10075.0,2019,105,9.375
10075.0,2020,68,-35.23809523809524
