Police_Precinct,ARREST_YEAR,ARREST_QUARTER,#_ARRESTS,ARREST_CHANGE
18.0,2011,2,1309,-17.046894803548795
18.0,2011,3,1522,16.27196333078686
18.0,2012,0,1355,-10.972404730617608
18.0,2012,1,1347,-0.5904059040590406
18.0,2012,2,1446,7.349665924276169
18.0,2012,3,1304,-9.820193637621024
18.0,2013,0,1386,6.288343558282208
18.0,2013,1,1506,8.658008658008658
18.0,2013,2,1376,-8.632138114209829
18.0,2013,3,1462,6.25
18.0,2014,0,1615,10.465116279069768
18.0,2014,1,1719,6.439628482972136
18.0,2014,2,1492,-13.205351948807445
18.0,2014,3,1484,-0.5361930294906166
18.0,2015,0,1286,-13.34231805929919
18.0,2015,1,1302,1.244167962674961
18.0,2015,2,1405,7.910906298003072
18.0,2015,3,1389,-1.1387900355871887
18.0,2016,0,1284,-7.559395248380129
18.0,2016,1,1238,-3.582554517133956
18.0,2016,2,1129,-8.804523424878836
18.0,2016,3,1141,1.0628875110717448
18.0,2017,0,1144,0.26292725679228746
18.0,2017,1,1268,10.839160839160838
18.0,2017,2,1260,-0.6309148264984227
18.0,2017,3,1301,3.2539682539682544
18.0,2018,0,1059,-18.6010760953113
18.0,2018,1,1003,-5.288007554296506
18.0,2018,2,980,-2.293120638085743
18.0,2018,3,893,-8.877551020408163
18.0,2019,0,793,-11.198208286674133
