Community_District,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
301.0,2016,5040,-2.4956471271038887
301.0,2017,5053,0.2579365079365079
301.0,2018,3971,-21.41302196714823
301.0,2019,3483,-12.289095945605641
301.0,2020,2123,-39.046798736721215
301.0,2021,2711,27.696655675930288
301.0,2022,3635,34.083364072298046
301.0,2023,1955,-46.217331499312245
302.0,2006,6947,
302.0,2007,7198,3.613070390096444
302.0,2008,7012,-2.5840511253125866
302.0,2009,7595,8.314318311466058
302.0,2010,8020,5.595786701777485
302.0,2011,8206,2.319201995012469
302.0,2012,7906,-3.65586156470875
302.0,2013,7485,-5.3250695674171515
302.0,2014,7577,1.229124916499666
302.0,2015,7165,-5.437508248647222
302.0,2016,7332,2.330774598743894
302.0,2017,6642,-9.410801963993453
302.0,2018,5216,-21.469436916591388
302.0,2019,4506,-13.611963190184047
302.0,2020,2719,-39.65823346648912
302.0,2021,2777,2.13313718278779
302.0,2022,4417,59.05653583003241
302.0,2023,2749,-37.76318768394838
303.0,2006,10942,
303.0,2007,13040,19.173825626028147
303.0,2008,12289,-5.75920245398773
303.0,2009,14928,21.47448938074701
303.0,2010,14365,-3.7714362272240085
303.0,2011,13417,-6.599373477201532
303.0,2012,13414,-0.022359692926883806
303.0,2013,13254,-1.1927836588638736
303.0,2014,11569,-12.71314320205221
303.0,2015,9266,-19.906647074077274
303.0,2016,8313,-10.28491258363911
303.0,2017,7117,-14.387104535065559
303.0,2018,6129,-13.882253758606156
303.0,2019,5185,-15.40218632729646
303.0,2020,3996,-22.931533269045325
303.0,2021,4037,1.0260260260260259
303.0,2022,4571,13.227644290314592
303.0,2023,2663,-41.74141325749289
304.0,2006,7286,
304.0,2007,8160,11.995608015371946
304.0,2008,8573,5.061274509803922
304.0,2009,8521,-0.6065554648314476
304.0,2010,8616,1.114892618237296
304.0,2011,9511,10.387650882079852
304.0,2012,8607,-9.504783934391757
304.0,2013,7340,-14.720576275124897
304.0,2014,6316,-13.950953678474114
304.0,2015,4994,-20.930968967701077
304.0,2016,4309,-13.716459751702043
304.0,2017,3944,-8.470642840566258
304.0,2018,3335,-15.441176470588236
304.0,2019,2981,-10.614692653673163
304.0,2020,1984,-33.44515263334451
304.0,2021,2207,11.23991935483871
304.0,2022,2411,9.243316719528773
304.0,2023,1508,-37.45333886354209
305.0,2006,12233,
305.0,2007,13150,7.496117060410365
305.0,2008,13605,3.4600760456273765
305.0,2009,15137,11.260565968393973
305.0,2010,15245,0.7134835172094867
305.0,2011,15606,2.3679895047556574
305.0,2012,15159,-2.8642829680891966
305.0,2013,14566,-3.9118675374365064
305.0,2014,13788,-5.34120554716463
305.0,2015,11841,-14.120974760661445
305.0,2016,10176,-14.061312389156322
305.0,2017,8159,-19.82114779874214
305.0,2018,6707,-17.796298566000736
305.0,2019,6046,-9.855374981362756
305.0,2020,3791,-37.2973867019517
305.0,2021,4266,12.529675547348983
305.0,2022,5651,32.466010314111585
305.0,2023,3626,-35.834365599009026
306.0,2006,4344,
306.0,2007,3655,-15.860957642725598
306.0,2008,3489,-4.54172366621067
306.0,2009,3439,-1.4330753797649758
306.0,2010,3233,-5.990113405059611
306.0,2011,3062,-5.289205072687906
306.0,2012,3474,13.455258001306337
306.0,2013,3120,-10.189982728842832
306.0,2014,3113,-0.22435897435897434
306.0,2015,3020,-2.987471892065532
306.0,2016,3657,21.092715231788077
306.0,2017,3694,1.0117582718074924
306.0,2018,3188,-13.6978884677856
306.0,2019,2406,-24.52948557089084
306.0,2020,1297,-46.09310058187864
306.0,2021,1309,0.9252120277563608
306.0,2022,1490,13.82734912146677
306.0,2023,1013,-32.013422818791945
307.0,2006,4233,
307.0,2007,4429,4.630285849279471
307.0,2008,4091,-7.631519530368029
307.0,2009,3829,-6.404302126619409
307.0,2010,4029,5.223295899712719
307.0,2011,3660,-9.158600148920328
307.0,2012,3637,-0.6284153005464481
307.0,2013,3597,-1.0998075336816058
307.0,2014,3686,2.4742841256602723
307.0,2015,3229,-12.398263700488334
307.0,2016,3387,4.893155775781976
307.0,2017,3865,14.112784174785947
307.0,2018,3334,-13.738680465717982
307.0,2019,3198,-4.079184163167366
307.0,2020,2059,-35.61601000625391
307.0,2021,2088,1.4084507042253522
307.0,2022,2424,16.091954022988507
307.0,2023,1426,-41.17161716171617
308.0,2006,6471,
308.0,2007,6963,7.603152526657395
308.0,2008,7013,0.7180812868016659
308.0,2009,7033,0.2851846570654499
308.0,2010,7422,5.53106782311958
308.0,2011,7428,0.08084074373484236
308.0,2012,6536,-12.00861604738826
308.0,2013,6483,-0.8108935128518973
308.0,2014,6068,-6.40135739626716
308.0,2015,4645,-23.450889914304547
308.0,2016,4657,0.25834230355220666
308.0,2017,4590,-1.438694438479708
308.0,2018,3983,-13.224400871459697
308.0,2019,3220,-19.15641476274165
308.0,2020,2217,-31.149068322981364
308.0,2021,2173,-1.9846639603067207
308.0,2022,2572,18.361711919005984
308.0,2023,1557,-39.46345256609642
309.0,2006,4651,
309.0,2007,5264,13.179961298645454
309.0,2008,4675,-11.189209726443769
309.0,2009,4964,6.181818181818182
309.0,2010,5441,9.609186140209507
309.0,2011,5173,-4.9255651534644365
309.0,2012,4557,-11.907983761840326
309.0,2013,4702,3.1819179284617074
309.0,2014,4759,1.2122501063377287
309.0,2015,4421,-7.102332422777895
309.0,2016,4011,-9.273919927618186
309.0,2017,3564,-11.144353029169784
309.0,2018,2973,-16.58249158249158
309.0,2019,2467,-17.01984527413387
309.0,2020,1433,-41.9132549655452
309.0,2021,1791,24.982554082344734
309.0,2022,2080,16.136236739251814
309.0,2023,1189,-42.83653846153846
310.0,2006,2013,
310.0,2007,2308,14.654744162940883
310.0,2008,2250,-2.512998266897747
310.0,2009,2481,10.266666666666667
310.0,2010,2544,2.539298669891173
310.0,2011,2366,-6.99685534591195
310.0,2012,2117,-10.524091293322064
310.0,2013,2316,9.40009447331129
310.0,2014,2349,1.4248704663212435
310.0,2015,2149,-8.514261387824607
310.0,2016,2640,22.847836202885063
310.0,2017,2893,9.583333333333334
310.0,2018,2507,-13.342550985136537
310.0,2019,2063,-17.710410849621063
310.0,2020,1379,-33.15559864275327
310.0,2021,1456,5.583756345177665
310.0,2022,1529,5.013736263736264
310.0,2023,1083,-29.16939175931982
311.0,2006,2598,
311.0,2007,2819,8.506543494996151
311.0,2008,2909,3.192621496984746
311.0,2009,2824,-2.9219663114472327
311.0,2010,2480,-12.181303116147308
311.0,2011,2466,-0.564516129032258
311.0,2012,2444,-0.8921330089213302
311.0,2013,2391,-2.1685761047463172
311.0,2014,2954,23.54663320786282
311.0,2015,2781,-5.856465809072444
311.0,2016,2551,-8.270406328658755
311.0,2017,2401,-5.880047040376323
311.0,2018,1651,-31.236984589754268
311.0,2019,1789,8.358570563294974
311.0,2020,1148,-35.83007266629402
311.0,2021,1488,29.61672473867596
311.0,2022,1728,16.129032258064516
311.0,2023,1015,-41.261574074074076
312.0,2006,1976,
312.0,2007,1972,-0.20242914979757085
312.0,2008,1781,-9.685598377281947
312.0,2009,1724,-3.200449185850646
312.0,2010,1782,3.3642691415313224
312.0,2011,1618,-9.20314253647587
312.0,2012,1666,2.966625463535229
312.0,2013,1823,9.423769507803122
312.0,2014,1885,3.4009873834339004
312.0,2015,1956,3.7665782493368702
312.0,2016,1903,-2.7096114519427403
312.0,2017,1478,-22.333158171308458
312.0,2018,1244,-15.832205683355886
312.0,2019,1219,-2.009646302250804
312.0,2020,945,-22.47744052502051
312.0,2021,1094,15.76719576719577
312.0,2022,1434,31.078610603290674
312.0,2023,719,-49.860529986052995
313.0,2006,4574,
313.0,2007,4961,8.460865763008307
313.0,2008,4800,-3.2453134448699856
313.0,2009,5177,7.854166666666666
313.0,2010,5037,-2.7042688815916556
313.0,2011,4490,-10.859638673813778
313.0,2012,4085,-9.020044543429844
313.0,2013,4329,5.973072215422277
313.0,2014,4563,5.405405405405405
313.0,2015,4899,7.363576594345825
313.0,2016,4471,-8.736476832006531
313.0,2017,4093,-8.454484455379111
313.0,2018,3818,-6.718788174932812
313.0,2019,3176,-16.81508643268727
313.0,2020,2199,-30.761964735516372
313.0,2021,2320,5.5025011368804
313.0,2022,2538,9.39655172413793
313.0,2023,1646,-35.1457840819543
314.0,2006,5200,
314.0,2007,5720,10.0
314.0,2008,5637,-1.451048951048951
314.0,2009,5816,3.1754479332978534
314.0,2010,6255,7.548143053645116
314.0,2011,5496,-12.134292565947243
314.0,2012,5090,-7.387190684133915
314.0,2013,5130,0.7858546168958742
314.0,2014,5331,3.91812865497076
314.0,2015,4349,-18.42055899456012
314.0,2016,3806,-12.485628880202345
314.0,2017,4005,5.228586442459275
314.0,2018,3806,-4.9687890137328345
314.0,2019,2973,-21.886495007882292
314.0,2020,1923,-35.317860746720484
314.0,2021,1994,3.692147685907436
314.0,2022,2405,20.611835506519558
